,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2024-10-30,8505.626013523739,8027.768848726273,6161.353859128484,6615.793901533537
2024-10-31,8326.572501343633,7959.255525030115,6052.489253625426,6407.650399341764
2024-11-01,8259.423673418372,7936.092649077169,6096.381300561533,6404.880675859989
2024-11-02,8259.423673418372,7936.092649077169,6096.381300561533,6404.880675859989
2024-11-03,8259.423673418372,7936.092649077169,6096.381300561533,6404.880675859989
2024-11-04,8220.713780715707,7915.758813808525,6055.489502953935,6392.318856260365
2024-11-05,8120.819401154053,7794.572975381125,6065.076547574322,6303.329711198432
2024-11-06,8303.085767572162,7885.513270693934,6132.163023693926,6405.136299608497
2024-11-07,8289.005655298904,7901.6053261415145,6136.404867850396,6476.935855608446
2024-11-08,8285.21009741869,7865.525655062262,6138.964962453568,6335.200573258976
2024-11-09,8285.21009741869,7865.525655062262,6138.964962453568,6335.200573258976
2024-11-10,8285.21009741869,7865.525655062262,6138.964962453568,6335.200573258976
2024-11-11,8003.280286394198,7618.728073356125,5933.386175137327,6162.681554801611
2024-11-12,7947.395810664284,7556.128587243043,5910.375157167944,6074.369932018328
2024-11-13,7912.792989148408,7522.332643858387,5887.105898897018,6043.188284105419
2024-11-14,7925.287520090127,7551.01283227268,5861.934364062631,6082.616052746296
2024-11-15,7869.134655570906,7470.643636330583,5800.220832886017,5999.251792825639
2024-11-16,7869.134655570906,7470.643636330583,5800.220832886017,5999.251792825639
2024-11-17,7869.134655570906,7470.643636330583,5800.220832886017,5999.251792825639
2024-11-18,7833.8942667759,7508.350773132501,5809.307675887352,6026.725066771024
2024-11-19,7831.724523841045,7526.2459789869545,5798.66764448254,6034.250297247716
2024-11-20,7868.166041433464,7560.951475766579,5812.542624990992,6097.058301938221
2024-11-21,7961.756381068847,7605.384390196466,5901.39713652173,6114.946652219108
2024-11-22,8040.224098688461,7663.368716853794,5965.747618060113,6199.011777626974
2024-11-23,8040.224098688461,7663.368716853794,5965.747618060113,6199.011777626974
2024-11-24,8040.224098688461,7663.368716853794,5965.747618060113,6199.011777626974
2024-11-25,8131.913589223207,7745.0720787503915,6027.6688127452135,6297.510653259557
2024-11-26,8179.20525556971,7784.69574394404,6052.344674317035,6318.467901444955
2024-11-27,8206.950239169852,7805.985577470016,6080.891124929658,6323.171532281896
2024-11-28,8206.950239169852,7805.985577470016,6080.891124929658,6323.171532281896
2024-11-29,8235.642333429785,7833.5858159671125,6088.214880050597,6316.016296174745
2024-11-30,8235.642333429785,7833.5858159671125,6088.214880050597,6316.016296174745
2024-12-01,8235.642333429785,7833.5858159671125,6088.214880050597,6316.016296174745
2024-12-02,8246.003567272615,7865.529571475886,6068.63153533307,6331.296216720913
2024-12-03,8223.330721928345,7840.259211393193,6065.8180758957715,6307.858842983867
